시간,SMP(원/kWh),수전단가(원/kWh),BEP_1기($/MMBtu),가동판단_1기,경제성(억)_1기,BEP_2기저부하($/MMBtu),가동판단_2기저부하,경제성(억)_2기저부하,BEP_2기($/MMBtu),가동판단_2기,경제성(억)_2기,최적모드,기력BEP_사용단가($/MMBtu),기력BEP_Spot($/MMBtu),기력발전_사용단가_가동가능,기력발전_Spot_가동가능
00:00,126.24,142.86,13.972,O,0.085,13.289,O,0.069,12.526,O,0.043,2기,,,-,-
01:00,117.82,142.86,13.951,O,0.084,13.289,O,0.069,11.69,O,0.019,2기,,,-,-
02:00,106.79,142.86,13.922,O,0.083,13.289,O,0.069,10.596,X,-0.011,2기저부하,,,-,-
03:00,106.79,142.86,13.922,O,0.083,13.289,O,0.069,10.596,X,-0.011,2기저부하,,,-,-
04:00,106.79,142.86,13.922,O,0.083,13.289,O,0.069,10.596,X,-0.011,2기저부하,,,-,-
05:00,109.6,142.86,13.93,O,0.084,13.289,O,0.069,10.875,X,-0.004,2기저부하,,,-,-
06:00,114.93,142.86,13.943,O,0.084,13.289,O,0.069,11.404,O,0.011,2기,,,-,-
07:00,122.91,142.86,13.964,O,0.085,13.289,O,0.069,12.195,O,0.034,2기,,,-,-
08:00,125.52,161.14,15.717,O,0.135,14.989,O,0.12,12.454,O,0.041,2기,,,-,-
09:00,111.54,161.14,15.681,O,0.134,14.989,O,0.12,11.067,O,0.002,2기,,,-,-
10:00,99.09,161.14,15.649,O,0.133,14.989,O,0.12,9.832,X,-0.033,2기저부하,,,-,-
11:00,99.07,161.14,15.649,O,0.133,14.989,O,0.12,9.83,X,-0.033,2기저부하,,,-,-
12:00,99.05,161.14,15.649,O,0.133,14.989,O,0.12,9.828,X,-0.033,2기저부하,,,-,-
13:00,99.03,161.14,15.649,O,0.133,14.989,O,0.12,9.826,X,-0.033,2기저부하,,,-,-
14:00,110.56,161.14,15.679,O,0.134,14.989,O,0.12,10.97,X,-0.001,2기저부하,,,-,-
15:00,118.0,178.8,17.385,O,0.182,16.632,O,0.17,11.708,O,0.02,2기,,,-,-
16:00,120.51,178.8,17.391,O,0.182,16.632,O,0.17,11.957,O,0.027,2기,,,-,-
17:00,122.91,178.8,17.397,O,0.183,16.632,O,0.17,12.195,O,0.034,2기,,,-,-
18:00,135.59,178.8,17.43,O,0.184,16.632,O,0.17,13.454,O,0.069,2기,,,-,-
19:00,135.62,178.8,17.43,O,0.184,16.632,O,0.17,13.457,O,0.069,2기,,,-,-
20:00,125.84,178.8,17.405,O,0.183,16.632,O,0.17,12.486,O,0.042,2기,,,-,-
21:00,125.63,161.14,15.717,O,0.135,14.989,O,0.12,12.465,O,0.041,2기,,,-,-
22:00,127.13,142.86,13.975,O,0.085,13.289,O,0.069,12.614,O,0.046,2기,,,-,-
23:00,125.78,142.86,13.971,O,0.085,13.289,O,0.069,12.48,O,0.042,2기,,,-,-
