시간,SMP(원/kWh),수전단가(원/kWh),BEP_1기($/MMBtu),가동판단_1기,경제성(억)_1기,BEP_2기저부하($/MMBtu),가동판단_2기저부하,경제성(억)_2기저부하,BEP_2기($/MMBtu),가동판단_2기,경제성(억)_2기,최적모드,기력BEP_사용단가($/MMBtu),기력BEP_Spot($/MMBtu),기력발전_사용단가_가동가능,기력발전_Spot_가동가능
00:00,110.55,142.86,13.932,O,0.084,13.289,O,0.069,10.969,X,-0.001,2기저부하,,,-,-
01:00,98.81,142.86,13.902,O,0.083,13.289,O,0.069,9.804,X,-0.034,2기저부하,,,-,-
02:00,98.62,142.86,13.902,O,0.083,13.289,O,0.069,9.785,X,-0.034,2기저부하,,,-,-
03:00,98.31,142.86,13.901,O,0.083,13.289,O,0.069,9.755,X,-0.035,2기저부하,,,-,-
04:00,98.81,142.86,13.902,O,0.083,13.289,O,0.069,9.804,X,-0.034,2기저부하,,,-,-
05:00,98.82,142.86,13.902,O,0.083,13.289,O,0.069,9.805,X,-0.034,2기저부하,,,-,-
06:00,98.81,142.86,13.902,O,0.083,13.289,O,0.069,9.804,X,-0.034,2기저부하,,,-,-
07:00,98.31,142.86,13.901,O,0.083,13.289,O,0.069,9.755,X,-0.035,2기저부하,,,-,-
08:00,97.86,142.86,13.9,O,0.083,13.289,O,0.069,9.71,X,-0.036,2기저부하,,,-,-
09:00,98.11,142.86,13.9,O,0.083,13.289,O,0.069,9.735,X,-0.036,2기저부하,,,-,-
10:00,98.02,142.86,13.9,O,0.083,13.289,O,0.069,9.726,X,-0.036,2기저부하,,,-,-
11:00,98.05,71.43,7.075,X,-0.112,6.644,X,-0.131,9.729,X,-0.036,정지,,,-,-
12:00,98.05,71.43,7.075,X,-0.112,6.644,X,-0.131,9.729,X,-0.036,정지,,,-,-
13:00,97.63,71.43,7.074,X,-0.112,6.644,X,-0.131,9.687,X,-0.037,정지,,,-,-
14:00,75.08,142.86,13.841,O,0.081,13.289,O,0.069,7.45,X,-0.1,2기저부하,,,-,-
15:00,97.03,142.86,13.897,O,0.083,13.289,O,0.069,9.628,X,-0.039,2기저부하,,,-,-
16:00,97.12,142.86,13.898,O,0.083,13.289,O,0.069,9.636,X,-0.038,2기저부하,,,-,-
17:00,110.59,142.86,13.932,O,0.084,13.289,O,0.069,10.973,X,-0.001,2기저부하,,,-,-
18:00,110.62,142.86,13.932,O,0.084,13.289,O,0.069,10.976,X,-0.001,2기저부하,,,-,-
19:00,134.28,142.86,13.993,O,0.085,13.289,O,0.069,13.324,O,0.066,2기,,,-,-
20:00,124.43,142.86,13.968,O,0.085,13.289,O,0.069,12.346,O,0.038,2기,,,-,-
21:00,124.34,142.86,13.967,O,0.085,13.289,O,0.069,12.337,O,0.038,2기,,,-,-
22:00,113.98,142.86,13.941,O,0.084,13.289,O,0.069,11.309,O,0.009,2기,,,-,-
23:00,110.62,142.86,13.932,O,0.084,13.289,O,0.069,10.976,X,-0.001,2기저부하,,,-,-
