시간,SMP(원/kWh),수전단가(원/kWh),BEP_1기($/MMBtu),가동판단_1기,경제성(억)_1기,BEP_2기저부하($/MMBtu),가동판단_2기저부하,경제성(억)_2기저부하,BEP_2기($/MMBtu),가동판단_2기,경제성(억)_2기,최적모드,기력BEP_사용단가($/MMBtu),기력BEP_Spot($/MMBtu),기력발전_사용단가_가동가능,기력발전_Spot_가동가능
00:00,125.7,142.86,13.988,O,0.085,13.858,O,0.082,12.504,O,0.042,2기,,,-,-
01:00,120.57,142.86,13.975,O,0.085,13.858,O,0.082,11.994,O,0.028,2기,,,-,-
02:00,112.85,142.86,13.955,O,0.084,13.858,O,0.082,11.226,O,0.006,2기,,,-,-
03:00,110.6,142.86,13.95,O,0.084,13.858,O,0.082,11.002,O,0.0,2기,,,-,-
04:00,112.77,142.86,13.955,O,0.084,13.858,O,0.082,11.218,O,0.006,2기,,,-,-
05:00,125.54,142.86,14.076,O,0.087,13.858,O,0.082,12.488,O,0.042,2기,,,-,-
06:00,124.82,142.86,13.812,O,0.081,13.858,O,0.082,12.417,O,0.04,2기,,,-,-
07:00,126.38,142.86,13.99,O,0.085,13.858,O,0.082,12.572,O,0.044,2기,,,-,-
08:00,124.71,161.14,15.735,O,0.135,15.631,O,0.134,12.406,O,0.04,2기,,,-,-
09:00,121.89,161.14,15.727,O,0.135,15.631,O,0.134,12.125,O,0.032,2기,,,-,-
10:00,121.36,161.14,15.726,O,0.135,15.631,O,0.134,12.072,O,0.03,2기,,,-,-
11:00,121.36,161.14,15.726,O,0.135,15.631,O,0.134,12.072,O,0.03,2기,,,-,-
12:00,98.77,161.14,15.668,O,0.133,15.631,O,0.134,9.825,X,-0.033,2기저부하,,,-,-
13:00,98.76,161.14,15.668,O,0.133,15.631,O,0.134,9.824,X,-0.033,2기저부하,,,-,-
14:00,98.76,161.14,15.668,O,0.133,15.631,O,0.134,9.824,X,-0.033,2기저부하,,,-,-
15:00,98.76,178.8,17.357,O,0.181,17.344,O,0.183,9.824,X,-0.033,2기저부하,,,-,-
16:00,110.59,178.8,17.388,O,0.182,17.344,O,0.183,11.001,O,0.0,2기,,,-,-
17:00,118.42,178.8,17.408,O,0.183,17.344,O,0.183,11.78,O,0.022,2기,,,-,-
18:00,134.97,178.8,17.45,O,0.184,17.344,O,0.183,13.426,O,0.068,2기,,,-,-
19:00,136.57,178.8,17.454,O,0.184,17.344,O,0.183,13.585,O,0.073,2기,,,-,-
20:00,136.57,178.8,17.454,O,0.184,17.344,O,0.183,13.585,O,0.073,2기,,,-,-
21:00,126.36,161.14,15.739,O,0.135,15.631,O,0.134,12.57,O,0.044,2기,,,-,-
22:00,126.45,142.86,13.903,O,0.083,13.858,O,0.082,12.579,O,0.044,2기,,,-,-
23:00,124.87,142.86,13.986,O,0.085,13.858,O,0.082,12.421,O,0.04,2기,,,-,-
