시간,SMP(원/kWh),수전단가(원/kWh),BEP_1기($/MMBtu),가동판단_1기,경제성(억)_1기,BEP_2기저부하($/MMBtu),가동판단_2기저부하,경제성(억)_2기저부하,BEP_2기($/MMBtu),가동판단_2기,경제성(억)_2기,최적모드,기력BEP_사용단가($/MMBtu),기력BEP_Spot($/MMBtu),기력발전_사용단가_가동가능,기력발전_Spot_가동가능
00:00,125.12,142.86,13.969,O,0.085,13.289,O,0.069,12.415,O,0.04,2기,,,-,-
01:00,125.13,142.86,13.969,O,0.085,13.289,O,0.069,12.416,O,0.04,2기,,,-,-
02:00,110.88,142.86,13.933,O,0.084,13.289,O,0.069,11.002,O,0.0,2기,,,-,-
03:00,110.88,142.86,13.933,O,0.084,13.289,O,0.069,11.002,O,0.0,2기,,,-,-
04:00,110.88,142.86,13.933,O,0.084,13.289,O,0.069,11.002,O,0.0,2기,,,-,-
05:00,125.13,142.86,13.969,O,0.085,13.289,O,0.069,12.416,O,0.04,2기,,,-,-
06:00,126.59,142.86,13.973,O,0.085,13.289,O,0.069,12.561,O,0.044,2기,,,-,-
07:00,127.38,142.86,13.975,O,0.085,13.289,O,0.069,12.639,O,0.046,2기,,,-,-
08:00,135.04,161.14,15.741,O,0.135,14.989,O,0.12,13.399,O,0.068,2기,,,-,-
09:00,130.88,161.14,15.731,O,0.135,14.989,O,0.12,12.986,O,0.056,2기,,,-,-
10:00,121.48,161.14,15.707,O,0.134,14.989,O,0.12,12.054,O,0.03,2기,,,-,-
11:00,117.99,161.14,15.698,O,0.134,14.989,O,0.12,11.707,O,0.02,2기,,,-,-
12:00,98.95,161.14,15.649,O,0.133,14.989,O,0.12,9.818,X,-0.033,2기저부하,,,-,-
13:00,98.95,161.14,15.649,O,0.133,14.989,O,0.12,9.818,X,-0.033,2기저부하,,,-,-
14:00,98.87,161.14,15.649,O,0.133,14.989,O,0.12,9.81,X,-0.034,2기저부하,,,-,-
15:00,98.95,178.8,17.336,O,0.181,16.632,O,0.17,9.818,X,-0.033,2기저부하,,,-,-
16:00,110.88,178.8,17.367,O,0.182,16.632,O,0.17,11.002,O,0.0,2기,,,-,-
17:00,126.27,178.8,17.406,O,0.183,16.632,O,0.17,12.529,O,0.043,2기,,,-,-
18:00,126.34,178.8,17.406,O,0.183,16.632,O,0.17,12.536,O,0.043,2기,,,-,-
19:00,135.89,178.8,17.431,O,0.184,16.632,O,0.17,13.483,O,0.07,2기,,,-,-
20:00,128.2,178.8,17.411,O,0.183,16.632,O,0.17,12.72,O,0.049,2기,,,-,-
21:00,126.56,161.14,15.72,O,0.135,14.989,O,0.12,12.558,O,0.044,2기,,,-,-
22:00,126.56,142.86,13.973,O,0.085,13.289,O,0.069,12.558,O,0.044,2기,,,-,-
23:00,126.26,142.86,13.972,O,0.085,13.289,O,0.069,12.528,O,0.043,2기,,,-,-
