시간,SMP(원/kWh),수전단가(원/kWh),BEP_1기($/MMBtu),가동판단_1기,경제성(억)_1기,BEP_2기저부하($/MMBtu),가동판단_2기저부하,경제성(억)_2기저부하,BEP_2기($/MMBtu),가동판단_2기,경제성(억)_2기,최적모드,기력BEP_사용단가($/MMBtu),기력BEP_Spot($/MMBtu),기력발전_사용단가_가동가능,기력발전_Spot_가동가능
00:00,123.99,142.86,13.966,O,0.085,13.289,O,0.069,12.303,O,0.037,2기,,,-,-
01:00,107.5,142.86,13.924,O,0.083,13.289,O,0.069,10.666,X,-0.009,2기저부하,,,-,-
02:00,107.5,142.86,13.924,O,0.083,13.289,O,0.069,10.666,X,-0.009,2기저부하,,,-,-
03:00,107.5,142.86,13.924,O,0.083,13.289,O,0.069,10.666,X,-0.009,2기저부하,,,-,-
04:00,107.5,142.86,13.924,O,0.083,13.289,O,0.069,10.666,X,-0.009,2기저부하,,,-,-
05:00,114.3,142.86,13.942,O,0.084,13.289,O,0.069,11.341,O,0.01,2기,,,-,-
06:00,128.57,142.86,13.978,O,0.085,13.289,O,0.069,12.757,O,0.05,2기,,,-,-
07:00,128.57,142.86,13.978,O,0.085,13.289,O,0.069,12.757,O,0.05,2기,,,-,-
08:00,111.75,161.14,15.682,O,0.134,14.989,O,0.12,11.088,O,0.002,2기,,,-,-
09:00,109.73,161.14,15.676,O,0.133,14.989,O,0.12,10.888,X,-0.003,2기저부하,,,-,-
10:00,111.07,161.14,15.68,O,0.134,14.989,O,0.12,11.021,O,0.001,2기,,,-,-
11:00,111.07,161.14,15.68,O,0.134,14.989,O,0.12,11.021,O,0.001,2기,,,-,-
12:00,109.73,161.14,15.676,O,0.133,14.989,O,0.12,10.888,X,-0.003,2기저부하,,,-,-
13:00,110.95,161.14,15.68,O,0.134,14.989,O,0.12,11.009,O,0.0,2기,,,-,-
14:00,110.87,161.14,15.679,O,0.134,14.989,O,0.12,11.001,O,0.0,2기,,,-,-
15:00,110.87,178.8,17.367,O,0.182,16.632,O,0.17,11.001,O,0.0,2기,,,-,-
16:00,109.73,178.8,17.364,O,0.182,16.632,O,0.17,10.888,X,-0.003,2기저부하,,,-,-
17:00,128.18,178.8,17.411,O,0.183,16.632,O,0.17,12.718,O,0.048,2기,,,-,-
18:00,129.28,178.8,17.414,O,0.183,16.632,O,0.17,12.828,O,0.052,2기,,,-,-
19:00,141.09,178.8,17.444,O,0.184,16.632,O,0.17,13.999,O,0.085,2기,,,-,-
20:00,129.28,178.8,17.414,O,0.183,16.632,O,0.17,12.828,O,0.052,2기,,,-,-
21:00,122.19,161.14,15.708,O,0.134,14.989,O,0.12,12.124,O,0.032,2기,,,-,-
22:00,113.91,142.86,13.941,O,0.084,13.289,O,0.069,11.303,O,0.009,2기,,,-,-
23:00,111.75,142.86,13.935,O,0.084,13.289,O,0.069,11.088,O,0.002,2기,,,-,-
