시간,SMP(원/kWh),수전단가(원/kWh),BEP_1기($/MMBtu),가동판단_1기,경제성(억)_1기,BEP_2기저부하($/MMBtu),가동판단_2기저부하,경제성(억)_2기저부하,BEP_2기($/MMBtu),가동판단_2기,경제성(억)_2기,최적모드,기력BEP_사용단가($/MMBtu),기력BEP_Spot($/MMBtu),기력발전_사용단가_가동가능,기력발전_Spot_가동가능
00:00,124.98,142.86,13.969,O,0.085,13.289,O,0.069,12.401,O,0.04,2기,,,-,-
01:00,84.58,142.86,13.866,O,0.082,13.289,O,0.069,8.392,X,-0.074,2기저부하,,,-,-
02:00,113.02,142.86,13.938,O,0.084,13.289,O,0.069,11.214,O,0.006,2기,,,-,-
03:00,113.01,142.86,13.938,O,0.084,13.289,O,0.069,11.213,O,0.006,2기,,,-,-
04:00,113.02,142.86,13.938,O,0.084,13.289,O,0.069,11.214,O,0.006,2기,,,-,-
05:00,84.58,142.86,13.866,O,0.082,13.289,O,0.069,8.392,X,-0.074,2기저부하,,,-,-
06:00,113.2,142.86,13.939,O,0.084,13.289,O,0.069,11.232,O,0.007,2기,,,-,-
07:00,127.57,142.86,13.976,O,0.085,13.289,O,0.069,12.658,O,0.047,2기,,,-,-
08:00,127.0,161.14,15.721,O,0.135,14.989,O,0.12,12.601,O,0.045,2기,,,-,-
09:00,124.04,161.14,15.713,O,0.135,14.989,O,0.12,12.308,O,0.037,2기,,,-,-
10:00,130.45,161.14,15.729,O,0.135,14.989,O,0.12,12.944,O,0.055,2기,,,-,-
11:00,124.24,161.14,15.714,O,0.135,14.989,O,0.12,12.328,O,0.037,2기,,,-,-
12:00,121.32,161.14,15.706,O,0.134,14.989,O,0.12,12.038,O,0.029,2기,,,-,-
13:00,121.32,161.14,15.706,O,0.134,14.989,O,0.12,12.038,O,0.029,2기,,,-,-
14:00,120.86,161.14,15.705,O,0.134,14.989,O,0.12,11.992,O,0.028,2기,,,-,-
15:00,121.32,178.8,17.393,O,0.182,16.632,O,0.17,12.038,O,0.029,2기,,,-,-
16:00,128.05,178.8,17.411,O,0.183,16.632,O,0.17,12.706,O,0.048,2기,,,-,-
17:00,126.56,178.8,17.407,O,0.183,16.632,O,0.17,12.558,O,0.044,2기,,,-,-
18:00,128.81,178.8,17.413,O,0.183,16.632,O,0.17,12.781,O,0.05,2기,,,-,-
19:00,127.27,178.8,17.409,O,0.183,16.632,O,0.17,12.628,O,0.046,2기,,,-,-
20:00,126.6,178.8,17.407,O,0.183,16.632,O,0.17,12.562,O,0.044,2기,,,-,-
21:00,126.6,161.14,15.72,O,0.135,14.989,O,0.12,12.562,O,0.044,2기,,,-,-
22:00,128.21,142.86,13.977,O,0.085,13.289,O,0.069,12.721,O,0.049,2기,,,-,-
23:00,126.6,142.86,13.973,O,0.085,13.289,O,0.069,12.562,O,0.044,2기,,,-,-
