시간,SMP(원/kWh),수전단가(원/kWh),BEP_1기($/MMBtu),가동판단_1기,경제성(억)_1기,BEP_2기저부하($/MMBtu),가동판단_2기저부하,경제성(억)_2기저부하,BEP_2기($/MMBtu),가동판단_2기,경제성(억)_2기,최적모드,기력BEP_사용단가($/MMBtu),기력BEP_Spot($/MMBtu),기력발전_사용단가_가동가능,기력발전_Spot_가동가능
00:00,125.76,142.86,13.989,O,0.085,13.858,O,0.082,12.51,O,0.043,2기,,,-,-
01:00,124.87,142.86,13.986,O,0.085,13.858,O,0.082,12.421,O,0.04,2기,,,-,-
02:00,118.24,142.86,13.969,O,0.085,13.858,O,0.082,11.762,O,0.021,2기,,,-,-
03:00,112.3,142.86,13.954,O,0.084,13.858,O,0.082,11.171,O,0.005,2기,,,-,-
04:00,112.3,142.86,13.954,O,0.084,13.858,O,0.082,11.171,O,0.005,2기,,,-,-
05:00,118.25,142.86,14.058,O,0.087,13.858,O,0.082,11.763,O,0.021,2기,,,-,-
06:00,125.95,142.86,13.815,O,0.081,13.858,O,0.082,12.529,O,0.043,2기,,,-,-
07:00,125.92,142.86,13.989,O,0.085,13.858,O,0.082,12.526,O,0.043,2기,,,-,-
08:00,127.61,161.14,15.742,O,0.135,15.631,O,0.134,12.694,O,0.048,2기,,,-,-
09:00,152.01,161.14,15.805,O,0.137,15.631,O,0.134,15.121,O,0.116,2기,,,-,-
10:00,152.01,161.14,15.805,O,0.137,15.631,O,0.134,15.121,O,0.116,2기,,,-,-
11:00,150.75,161.14,15.801,O,0.137,15.631,O,0.134,14.996,O,0.112,2기,,,-,-
12:00,121.56,161.14,15.726,O,0.135,15.631,O,0.134,12.092,O,0.031,2기,,,-,-
13:00,151.73,161.14,15.804,O,0.137,15.631,O,0.134,15.093,O,0.115,2기,,,-,-
14:00,151.94,161.14,15.804,O,0.137,15.631,O,0.134,15.114,O,0.116,2기,,,-,-
15:00,151.79,178.8,17.493,O,0.185,17.344,O,0.183,15.099,O,0.115,2기,,,-,-
16:00,150.54,178.8,17.49,O,0.185,17.344,O,0.183,14.975,O,0.112,2기,,,-,-
17:00,121.92,178.8,17.417,O,0.183,17.344,O,0.183,12.128,O,0.032,2기,,,-,-
18:00,133.94,178.8,17.448,O,0.184,17.344,O,0.183,13.324,O,0.065,2기,,,-,-
19:00,127.29,178.8,17.43,O,0.183,17.344,O,0.183,12.662,O,0.047,2기,,,-,-
20:00,127.29,178.8,17.43,O,0.183,17.344,O,0.183,12.662,O,0.047,2기,,,-,-
21:00,125.2,161.14,15.736,O,0.135,15.631,O,0.134,12.454,O,0.041,2기,,,-,-
22:00,126.54,142.86,13.903,O,0.083,13.858,O,0.082,12.588,O,0.045,2기,,,-,-
23:00,124.85,142.86,13.986,O,0.085,13.858,O,0.082,12.419,O,0.04,2기,,,-,-
