시간,SMP(원/kWh),수전단가(원/kWh),BEP_1기($/MMBtu),가동판단_1기,경제성(억)_1기,BEP_2기저부하($/MMBtu),가동판단_2기저부하,경제성(억)_2기저부하,BEP_2기($/MMBtu),가동판단_2기,경제성(억)_2기,최적모드,기력BEP_사용단가($/MMBtu),기력BEP_Spot($/MMBtu),기력발전_사용단가_가동가능,기력발전_Spot_가동가능
00:00,124.91,142.86,13.969,O,0.085,13.289,O,0.069,12.394,O,0.039,2기,,,-,-
01:00,112.8,142.86,13.938,O,0.084,13.289,O,0.069,11.192,O,0.005,2기,,,-,-
02:00,112.19,142.86,13.936,O,0.084,13.289,O,0.069,11.132,O,0.004,2기,,,-,-
03:00,111.17,142.86,13.934,O,0.084,13.289,O,0.069,11.031,O,0.001,2기,,,-,-
04:00,112.86,142.86,13.938,O,0.084,13.289,O,0.069,11.198,O,0.006,2기,,,-,-
05:00,117.21,142.86,13.949,O,0.084,13.289,O,0.069,11.63,O,0.018,2기,,,-,-
06:00,117.21,142.86,13.949,O,0.084,13.289,O,0.069,11.63,O,0.018,2기,,,-,-
07:00,117.21,142.86,13.949,O,0.084,13.289,O,0.069,11.63,O,0.018,2기,,,-,-
08:00,111.17,161.14,15.68,O,0.134,14.989,O,0.12,11.031,O,0.001,2기,,,-,-
09:00,99.04,161.14,15.649,O,0.133,14.989,O,0.12,9.827,X,-0.033,2기저부하,,,-,-
10:00,99.22,161.14,15.649,O,0.133,14.989,O,0.12,9.845,X,-0.033,2기저부하,,,-,-
11:00,99.21,80.57,7.952,X,-0.087,7.494,X,-0.106,9.844,X,-0.033,정지,,,-,-
12:00,98.54,80.57,7.95,X,-0.087,7.494,X,-0.106,9.777,X,-0.035,정지,,,-,-
13:00,97.64,80.57,7.948,X,-0.087,7.494,X,-0.106,9.688,X,-0.037,정지,,,-,-
14:00,98.37,161.14,15.647,O,0.133,14.989,O,0.12,9.761,X,-0.035,2기저부하,,,-,-
15:00,97.56,161.14,15.645,O,0.133,14.989,O,0.12,9.68,X,-0.037,2기저부하,,,-,-
16:00,98.8,161.14,15.649,O,0.133,14.989,O,0.12,9.803,X,-0.034,2기저부하,,,-,-
17:00,112.62,161.14,15.684,O,0.134,14.989,O,0.12,11.175,O,0.005,2기,,,-,-
18:00,116.47,161.14,15.694,O,0.134,14.989,O,0.12,11.556,O,0.016,2기,,,-,-
19:00,132.89,161.14,15.736,O,0.135,14.989,O,0.12,13.186,O,0.062,2기,,,-,-
20:00,133.35,161.14,15.737,O,0.135,14.989,O,0.12,13.231,O,0.063,2기,,,-,-
21:00,126.18,161.14,15.719,O,0.135,14.989,O,0.12,12.52,O,0.043,2기,,,-,-
22:00,133.35,142.86,13.99,O,0.085,13.289,O,0.069,13.231,O,0.063,2기,,,-,-
23:00,126.18,142.86,13.972,O,0.085,13.289,O,0.069,12.52,O,0.043,2기,,,-,-
